"model_id","location","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"CADPH-FluCAT_Ensemble","06",0.400583051103715,21.1055074280723,0.710938275260583,31.5583021831595,0.7,1,20
"CEPH-Rtrend_fluH","01",0.867751036596,8.05995652173913,1.51100872654687,9.4,0.8,0.9,20
"CEPH-Rtrend_fluH","02",1.08948775922007,2.04565217391304,1.62170164339246,3.8,0.3,1,20
"CEPH-Rtrend_fluH","04",0.503519620731065,10.1750869565217,0.446985377284221,7.6,1,1,20
"CEPH-Rtrend_fluH","05",0.39640742301702,2.80391304347826,0.714366376478629,2.8,0.9,1,20
"CEPH-Rtrend_fluH","06",0.632038307366757,33.9305217391304,1.36365488072311,62.3,0.4,1,20
"CEPH-Rtrend_fluH","08",0.395530684021191,4.17452173913043,0.466021964548075,6.1,0.7,1,20
"CEPH-Rtrend_fluH","09",0.421821447602782,5.7755652173913,0.388227729408187,7.8,0.4,0.9,20
"CEPH-Rtrend_fluH","10",0.486237339343535,1.16686956521739,Inf,1.8,0.4,0.9,20
"CEPH-Rtrend_fluH","11",0.791798018285763,1.71704347826087,Inf,2.7,0.5,0.9,20
"CEPH-Rtrend_fluH","12",0.926979553378245,35.0855217391304,2.62482548555192,66.8,0.4,1,20
"CEPH-Rtrend_fluH","13",0.500328340983493,7.33539130434783,1.20321141012521,13.2,0.3,1,20
"CEPH-Rtrend_fluH","15",1.05945721431354,4.60086956521739,1.03584574205395,7.2,0.3,0.8,20
"CEPH-Rtrend_fluH","16",0.561751781570861,2.44882608695652,1.20880704928349,4.5,0.6,0.9,20
"CEPH-Rtrend_fluH","17",0.562635554205016,12.5930434782609,0.801906471966039,17.6,0.7,1,20
"CEPH-Rtrend_fluH","18",0.300801781340669,4.45534782608696,0.495236194693897,4.9,1,1,20
"CEPH-Rtrend_fluH","19",0.4322199667797,2.33839130434783,0.583208782614623,2.9,0.7,1,20
"CEPH-Rtrend_fluH","20",0.571139752852311,2.69065217391304,NA,4.7,0.5,1,20
"CEPH-Rtrend_fluH","21",0.222390425359984,2.59182608695652,0.384894806740397,3.2,1,1,20
"CEPH-Rtrend_fluH","22",0.460753431651999,5.65886956521739,0.647078317795343,9.3,0.7,1,20
"CEPH-Rtrend_fluH","23",0.362174679105146,1.50691304347826,Inf,2.3,0.5,1,20
"CEPH-Rtrend_fluH","24",0.486064889175135,6.147,0.546293021474714,9.5,0.5,0.9,20
"CEPH-Rtrend_fluH","25",0.362961020578161,6.61460869565217,0.502723790334859,10.2,0.7,1,20
"CEPH-Rtrend_fluH","26",0.452701628512286,12.0247391304348,0.689806022227397,21.6,0.5,1,20
"CEPH-Rtrend_fluH","27",0.372289072590585,3.37747826086957,0,4.7,0.8,1,20
"CEPH-Rtrend_fluH","28",0.473624776262392,2.86539130434783,1.00604502638016,4.6,0.7,1,20
"CEPH-Rtrend_fluH","29",0.422484219478897,6.01482608695652,0.786308648099485,9.3,0.7,1,20
"CEPH-Rtrend_fluH","30",0.57651541310836,2.249,Inf,3.1,0.2,0.7,20
"CEPH-Rtrend_fluH","31",0.33997276718706,1.357,0.367427168183573,1.7,0.8,1,20
"CEPH-Rtrend_fluH","32",0.888357974802874,5.56886956521739,1.59664037920451,9.2,0.5,0.9,20
"CEPH-Rtrend_fluH","33",0.362403644025432,1.00469565217391,0.374745044691269,1.3,0.9,1,20
"CEPH-Rtrend_fluH","34",0.338131003198618,7.18713043478261,0.474494139774144,11.5,0.8,1,20
"CEPH-Rtrend_fluH","35",0.399340565355959,3.49173913043478,0.358946304342274,4.7,0.8,0.9,20
"CEPH-Rtrend_fluH","36",0.289480814981851,13.0390434782609,0.197697863568292,12.6,0.8,1,20
"CEPH-Rtrend_fluH","37",0.368447175300775,6.68469565217391,0.344405459381981,5.3,1,1,20
"CEPH-Rtrend_fluH","38",0.387507471967946,1.04913043478261,0.420539943694652,1.6,0.7,1,20
"CEPH-Rtrend_fluH","39",0.87605024075991,29.6322608695652,0.89206282136317,39.9,0.6,0.8,20
"CEPH-Rtrend_fluH","40",0.44193285574272,3.97278260869565,NA,6.5,0.3,0.9,20
"CEPH-Rtrend_fluH","41",0.439670556604889,3.52173913043478,0.908313798429576,6.4,0.8,1,20
"CEPH-Rtrend_fluH","42",0.661877613532126,30.8705217391304,0.913533384427396,53,0.6,1,20
"CEPH-Rtrend_fluH","44",0.32866323327384,0.785521739130435,NA,0.7,1,1,20
"CEPH-Rtrend_fluH","45",0.507466226510347,4.65782608695652,0.888774823668594,4.9,0.8,1,20
"CEPH-Rtrend_fluH","46",0.83703427942749,2.32460869565217,1.07827487947162,3.7,0.4,0.9,20
"CEPH-Rtrend_fluH","47",0.516397884316628,8.23739130434783,0,14.2,0.7,1,20
"CEPH-Rtrend_fluH","48",0.599470089580463,30.2339565217391,1.39295459883664,55.5,0.4,1,20
"CEPH-Rtrend_fluH","49",0.913141761146826,3.13752173913043,1.86078626675439,5.7,0.5,1,20
"CEPH-Rtrend_fluH","50",0.738960800284673,2.35860869565217,0.825750118152282,3.7,0.4,0.7,20
"CEPH-Rtrend_fluH","51",0.409504823080258,5.45686956521739,0.757507171797482,7.6,0.8,1,20
"CEPH-Rtrend_fluH","53",0.308992381145057,3.37626086956522,0.427910610439171,5.6,0.8,1,20
"CEPH-Rtrend_fluH","54",0.412752208074188,2.73747826086957,0.350849767788765,2.6,0.9,1,20
"CEPH-Rtrend_fluH","55",0.367045058315372,3.65413043478261,0.541850541961232,5.3,0.8,1,20
"CEPH-Rtrend_fluH","56",0.642244579639448,1.16008695652174,1.14535447061932,1.6,0.5,0.8,20
"CEPH-Rtrend_fluH","72",1.04422041446486,29.0317391304348,1.09393243486208,46.1,0.6,0.9,20
"CFA_Pyrenew-Pyrenew_HE_Flu","01",1.15618897079997,10.2473341614907,2.38739544998949,14.4285714285714,0.142857142857143,0.571428571428571,10
"CFA_Pyrenew-Pyrenew_HE_Flu","02",1.22772744827954,2.15597049689441,1.56573872132988,3.42857142857143,0.142857142857143,0.857142857142857,10
"CFA_Pyrenew-Pyrenew_HE_Flu","04",2.35689547489669,42.0087754658385,4.58666947562512,69,0,1,10
"CFA_Pyrenew-Pyrenew_HE_Flu","05",0.267612268188456,1.76738198757764,0,2.14285714285714,0.857142857142857,1,10
"CFA_Pyrenew-Pyrenew_HE_Flu","06",0.520186091015372,26.3341937888199,1.08318801027938,46.7142857142857,0.428571428571429,1,10
"CFA_Pyrenew-Pyrenew_HE_Flu","08",1.48159737941162,14.824148447205,1.60803825090525,21.1428571428571,0.142857142857143,0.428571428571429,10
"CFA_Pyrenew-Pyrenew_HE_Flu","09",0.323975758631238,4.26191118012422,0.315021594366626,6.42857142857143,0.285714285714286,1,10
"CFA_Pyrenew-Pyrenew_HE_Flu","10",0.745850781610114,1.81416273291925,Inf,3,0.285714285714286,1,10
"CFA_Pyrenew-Pyrenew_HE_Flu","11",0.751388784199455,1.83522639751553,NA,2.71428571428571,0.571428571428571,1,10
"CFA_Pyrenew-Pyrenew_HE_Flu","12",0.519280112191239,17.332300310559,1.30777820127745,28.2857142857143,0.714285714285714,0.857142857142857,10
"CFA_Pyrenew-Pyrenew_HE_Flu","13",0.337032921813602,4.77583322981366,0.721358074479487,7.71428571428571,0.428571428571429,1,10
"CFA_Pyrenew-Pyrenew_HE_Flu","15",0.980842261515147,4.37373571428571,0.99984583562877,7.21428571428571,0.428571428571429,0.857142857142857,10
"CFA_Pyrenew-Pyrenew_HE_Flu","16",0.37857940829773,1.66317267080745,0,2.42857142857143,0.857142857142857,1,10
"CFA_Pyrenew-Pyrenew_HE_Flu","17",0.456103469656386,9.47806894409938,0.809988583722802,15.2857142857143,0.714285714285714,0.857142857142857,10
"CFA_Pyrenew-Pyrenew_HE_Flu","18",0.259713183130608,3.37073229813665,0.610553171616983,5.28571428571429,0.714285714285714,1,10
"CFA_Pyrenew-Pyrenew_HE_Flu","19",0.290436137805887,1.4615850931677,0,2.28571428571429,0.571428571428571,1,10
"CFA_Pyrenew-Pyrenew_HE_Flu","20",0.912782079808686,4.09190341614907,NA,6,0.571428571428571,0.571428571428571,10
"CFA_Pyrenew-Pyrenew_HE_Flu","21",0.233047425738033,2.48065838509317,0.445302746233843,3.57142857142857,0.428571428571429,1,10
"CFA_Pyrenew-Pyrenew_HE_Flu","22",0.31916206880697,3.66881583850932,0.433938531923943,6,0.857142857142857,1,10
"CFA_Pyrenew-Pyrenew_HE_Flu","23",0.357700918313992,1.35670931677019,NA,2.14285714285714,0.571428571428571,1,10
"CFA_Pyrenew-Pyrenew_HE_Flu","24",0.681347444774301,8.86625372670808,0.838898115463724,15.2857142857143,0,1,10
"CFA_Pyrenew-Pyrenew_HE_Flu","25",0.473302519885717,7.94225124223602,0.654429615433816,12.4285714285714,0.428571428571429,1,10
"CFA_Pyrenew-Pyrenew_HE_Flu","26",0.313421717452466,8.21628695652174,0.414996087734894,13.1428571428571,0.571428571428571,1,10
"CFA_Pyrenew-Pyrenew_HE_Flu","27",0.75254795354427,6.67616180124224,0.924108926371664,10.5714285714286,0,0.714285714285714,10
"CFA_Pyrenew-Pyrenew_HE_Flu","28",0.429554016806926,2.54994565217391,0.775924231465143,3.57142857142857,0.571428571428571,1,10
"CFA_Pyrenew-Pyrenew_HE_Flu","30",0.750196692790396,2.7002251552795,Inf,4,0.285714285714286,0.714285714285714,10
"CFA_Pyrenew-Pyrenew_HE_Flu","31",0.314152335444074,1.27543602484472,0.426881897126484,2.14285714285714,0.714285714285714,1,10
"CFA_Pyrenew-Pyrenew_HE_Flu","32",1.29782086000106,6.94697453416149,2.5536664067191,11.7142857142857,0,0.857142857142857,10
"CFA_Pyrenew-Pyrenew_HE_Flu","33",0.908602969516293,2.64365155279503,1.09032978782684,4.28571428571429,0.428571428571429,0.857142857142857,10
"CFA_Pyrenew-Pyrenew_HE_Flu","34",0.222586736324396,4.37758633540373,0.334889693408716,7.42857142857143,0.571428571428571,1,10
"CFA_Pyrenew-Pyrenew_HE_Flu","35",0.34718672004771,2.81391801242236,0.40845305118092,5,0.571428571428571,1,10
"CFA_Pyrenew-Pyrenew_HE_Flu","36",0.153562961511022,6.31347670807454,0.106783856638349,6.71428571428571,0.857142857142857,1,10
"CFA_Pyrenew-Pyrenew_HE_Flu","37",2.21791722988602,34.1006565217391,3.58269517361288,49,0,0.285714285714286,10
"CFA_Pyrenew-Pyrenew_HE_Flu","38",0.853410385250206,2.27416149068323,0.861763979612516,3.28571428571429,0.285714285714286,0.714285714285714,10
"CFA_Pyrenew-Pyrenew_HE_Flu","39",0.805809917397891,26.2099636645963,0.81538774233097,31.1428571428571,0.428571428571429,0.714285714285714,10
"CFA_Pyrenew-Pyrenew_HE_Flu","40",0.29674806799802,2.7228400621118,NA,4.42857142857143,0.571428571428571,1,10
"CFA_Pyrenew-Pyrenew_HE_Flu","41",0.485944527512856,3.47013043478261,0.729120097892886,4.85714285714286,0.714285714285714,1,10
"CFA_Pyrenew-Pyrenew_HE_Flu","42",0.601341476178394,27.3089189440994,0.703719066279321,40.7142857142857,0.428571428571429,0.714285714285714,10
"CFA_Pyrenew-Pyrenew_HE_Flu","44",0.682619113779105,1.60497919254658,Inf,2.71428571428571,0.285714285714286,1,10
"CFA_Pyrenew-Pyrenew_HE_Flu","45",0.442625371042431,3.83563136645963,1.09007410200195,6.28571428571429,0.428571428571429,1,10
"CFA_Pyrenew-Pyrenew_HE_Flu","46",0.811507896283611,2.18885093167702,0.952405938703738,3.28571428571429,0.428571428571429,0.714285714285714,10
"CFA_Pyrenew-Pyrenew_HE_Flu","47",0.325809222265959,4.9219251552795,0.495285536992517,7.78571428571429,0.571428571428571,1,10
"CFA_Pyrenew-Pyrenew_HE_Flu","48",0.34858006899309,16.2130714285714,0.67964226267414,25.2857142857143,0.285714285714286,0.857142857142857,10
"CFA_Pyrenew-Pyrenew_HE_Flu","49",0.49079337873093,1.45869813664596,0.62480470172025,1.57142857142857,0.857142857142857,1,10
"CFA_Pyrenew-Pyrenew_HE_Flu","50",0.303241433768237,0.881413043478261,0,1.42857142857143,0.714285714285714,1,10
"CFA_Pyrenew-Pyrenew_HE_Flu","51",0.678481397810614,8.68027142857143,1.41198731308541,14.0714285714286,0.285714285714286,1,10
"CFA_Pyrenew-Pyrenew_HE_Flu","53",0.812325648626224,8.35398416149068,1.05387905848271,13.2857142857143,0.142857142857143,0.571428571428571,10
"CFA_Pyrenew-Pyrenew_HE_Flu","54",0.27377833265047,1.55591086956522,0.340448260189054,2.14285714285714,0.714285714285714,1,10
"CFA_Pyrenew-Pyrenew_HE_Flu","55",0.522656013780802,5.11202888198758,0.830648909294461,8.64285714285714,0.142857142857143,0.857142857142857,10
"CFA_Pyrenew-Pyrenew_H_Flu","01",0.842897228565544,7.38156925465838,2.05440660095487,12.2857142857143,0.428571428571429,1,10
"CFA_Pyrenew-Pyrenew_H_Flu","02",1.042430859278,1.81031956521739,1.37252542420847,3,0.428571428571429,1,10
"CFA_Pyrenew-Pyrenew_H_Flu","04",0.440231436091699,7.8408350931677,0.534697664524425,8,1,1,10
"CFA_Pyrenew-Pyrenew_H_Flu","05",0.393369888358189,2.65189937888199,1.07797370700609,4.28571428571429,0.571428571428571,1,10
"CFA_Pyrenew-Pyrenew_H_Flu","06",0.692083007930556,34.7131568322981,1.32470207310185,57,0.142857142857143,1,10
"CFA_Pyrenew-Pyrenew_H_Flu","08",0.46995745656422,4.82269875776397,0.440220987696475,6,0.714285714285714,1,10
"CFA_Pyrenew-Pyrenew_H_Flu","09",1.47648582392483,23.2498276397516,1.36722907564732,33.3571428571429,0.285714285714286,0.714285714285714,10
"CFA_Pyrenew-Pyrenew_H_Flu","10",0.488899408451862,1.21336428571429,Inf,2.14285714285714,0.571428571428571,1,10
"CFA_Pyrenew-Pyrenew_H_Flu","11",0.616094843475499,1.44969968944099,NA,2.14285714285714,0.571428571428571,1,10
"CFA_Pyrenew-Pyrenew_H_Flu","12",0.783479969125109,27.0121350931677,1.86199655803823,43.5,0.428571428571429,1,10
"CFA_Pyrenew-Pyrenew_H_Flu","13",0.553982520086034,7.75461645962733,1.27769842946108,13.5714285714286,0.285714285714286,1,10
"CFA_Pyrenew-Pyrenew_H_Flu","15",1.20949125332313,5.38920124223603,1.20267336691791,8.71428571428571,0.571428571428571,1,10
"CFA_Pyrenew-Pyrenew_H_Flu","16",0.629386861603103,2.70656180124224,1.13107142577216,4.42857142857143,0.428571428571429,1,10
"CFA_Pyrenew-Pyrenew_H_Flu","17",0.602525570423062,12.5194161490683,1.01856724580107,19.1428571428571,0.285714285714286,0.857142857142857,10
"CFA_Pyrenew-Pyrenew_H_Flu","18",0.267989350055311,3.41818354037267,0.497283553356623,4.28571428571429,1,1,10
"CFA_Pyrenew-Pyrenew_H_Flu","19",0.330752538887489,1.64978385093168,0.554137386093251,2.71428571428571,0.571428571428571,1,10
"CFA_Pyrenew-Pyrenew_H_Flu","20",0.672123880554391,2.82567142857143,NA,4.42857142857143,0.428571428571429,1,10
"CFA_Pyrenew-Pyrenew_H_Flu","21",0.248137806144881,2.64944596273292,0.543406702855494,4.28571428571429,0.714285714285714,1,10
"CFA_Pyrenew-Pyrenew_H_Flu","22",0.615141525007764,7.18682763975155,0.796190270068648,11.4285714285714,0.714285714285714,1,10
"CFA_Pyrenew-Pyrenew_H_Flu","23",0.264271413290919,0.968322981366459,Inf,1.28571428571429,1,1,10
"CFA_Pyrenew-Pyrenew_H_Flu","24",0.538954356422809,6.83664534161491,0.593048885368643,10.5714285714286,0.285714285714286,0.857142857142857,10
"CFA_Pyrenew-Pyrenew_H_Flu","25",0.443836761439848,7.21130403726708,0.651464104537598,12,0.285714285714286,1,10
"CFA_Pyrenew-Pyrenew_H_Flu","26",0.592224836796485,15.7447562111801,0.721171157818826,23.2857142857143,0.571428571428571,1,10
"CFA_Pyrenew-Pyrenew_H_Flu","27",0.506352376312354,4.53716583850932,0.659388731029194,7.64285714285714,0.285714285714286,1,10
"CFA_Pyrenew-Pyrenew_H_Flu","28",0.594080831429649,3.55758633540373,1.27235824045105,5.85714285714286,0.571428571428571,1,10
"CFA_Pyrenew-Pyrenew_H_Flu","30",0.375947779099949,1.45167701863354,NA,2.28571428571429,0.428571428571429,1,10
"CFA_Pyrenew-Pyrenew_H_Flu","31",0.533622089324394,2.15935527950311,0.572359810060278,2.85714285714286,0.714285714285714,1,10
"CFA_Pyrenew-Pyrenew_H_Flu","32",0.860563095776646,4.5053,1.68050739137722,7.57142857142857,0.428571428571429,1,10
"CFA_Pyrenew-Pyrenew_H_Flu","33",0.415322371945763,1.15954440993789,0,1.57142857142857,0.857142857142857,1,10
"CFA_Pyrenew-Pyrenew_H_Flu","34",0.385579897390739,7.56257857142857,0.528372638690349,11.7142857142857,0.571428571428571,1,10
"CFA_Pyrenew-Pyrenew_H_Flu","35",0.576811872892617,4.54947577639752,0.561655222430238,6.57142857142857,0.714285714285714,1,10
"CFA_Pyrenew-Pyrenew_H_Flu","36",0.242542271808268,10.4332440993789,0.243614235716878,16.2857142857143,0.714285714285714,1,10
"CFA_Pyrenew-Pyrenew_H_Flu","37",0.216878843384267,3.42856708074534,0.310603120439136,4.42857142857143,1,1,10
