"model_id","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"CADPH-FluCAT_Ensemble",0.55682730964482,313.330444226299,0.665011979309177,486.890854817834,0.644230769230769,0.971153846153846,104
"CEPH-Rtrend_fluH",0.693211329617807,102.721228736968,0.753676601769584,137.888270230141,0.428730512249443,0.795842613214551,5388
"CFA_Pyrenew-Pyrenew_HE_Flu",0.591484949994274,13.0550716333205,0.69226051496382,19.8243362831858,0.474336283185841,0.889380530973451,1130
"CFA_Pyrenew-Pyrenew_H_Flu",0.743239846746304,69.6796243484977,0.886503862636623,107.597579814624,0.514933058702369,0.936148300720906,1942
"CMU-TimeSeries",0.685176832970464,102.285369967903,0.78215262763637,145.099823531866,0.53957100591716,0.904215976331361,5408
"CMU-climate_baseline",1.17113997953227,155.636435162198,1.44298845701384,239.495946860236,0.487115384615385,0.890384615384615,5200
"CU-ensemble",0.713316695244511,110.94190861204,0.788542131950769,152.743653846154,0.508653846153846,0.838076923076923,5200
"FluSight-baseline",1,148.699841539105,1,186.303439349112,0.312684911242604,0.711908284023669,5408
"FluSight-ensemble",0.671507462719743,102.318586715333,0.750456088619624,141.456915680473,0.514977810650888,0.81564349112426,5408
"FluSight-lop_norm",0.631096080655256,94.8550849787754,0.742555503750929,140.243528106509,0.591900887573965,0.93491124260355,5408
"FluSight-trained_mean",0.663467650946144,83.7413709300496,0.768426198692019,124.066121855046,0.594093406593407,0.932234432234432,4368
"FluSight-trained_med",0.662792701561547,83.0617324657432,0.752276613925688,120.770551125202,0.616758241758242,0.914835164835165,4368
"Gatech-ensemble_point",0.839036809924637,125.724134856573,0.899284654190905,164.894415680473,0.338942307692308,0.724112426035503,5408
"Gatech-ensemble_prob",0.935680669722228,144.672918301389,0.944072659367527,177.721153846154,0.353920118343195,0.681028106508876,5408
"Google_SAI-FluBoostQR",0.617304544787197,7.77393107232442,0.798432497921033,12.7017513736264,0.503605769230769,0.967548076923077,832
"ISU_NiemiLab-GPE",0.741200360299621,128.363801013781,0.809211197419722,173.073837382683,0.454890788224122,0.771367521367521,4212
"JHUAPL-DMD",1.17215345420996,193.279121596312,1.31290988096304,274.479654420506,0.494565217391304,0.848244147157191,4784
"JHUAPL-Morris",0.91092097476367,272.199566816647,1.06131375717909,400.188884251202,0.330128205128205,0.752403846153846,1248
"JHU_CSSE-CSSE_Ensemble",0.846305779440363,134.940875458266,0.978309637613418,194.651841517857,0.5046875,0.8,4480
"LUcompUncertLab-chimera",0.955216603105791,159.827262491276,0.977124934665303,198.994570349386,0.345136921624174,0.696175637393768,4236
"LosAlamos_NAU-CModel_Flu",0.780901462935999,131.136958710807,0.974461786630389,203.824158653846,0.323798076923077,0.843269230769231,4160
"MIGHTE-Joint",0.845176324837787,136.698167987495,0.86476735857362,173.968227424749,0.372491638795987,0.673494983277592,4784
"MIGHTE-Nsemble",0.897211645336555,138.525608190496,0.915798728069412,175.594551282051,0.371394230769231,0.677684294871795,4992
"MOBS-GLEAM_FLUH",0.829697339391509,129.204592174979,0.857357586146509,164.291318627451,0.191380718954248,0.558006535947712,4896
"NEU_ISI-AdaptiveEnsemble",0.681580780546339,105.138512327035,0.752356169277197,143.358441033926,0.287762520193861,0.67124394184168,4952
"NEU_ISI-FluBcast",0.819851993965316,124.867493212414,0.807654573667015,150.374241110147,0.266045099739809,0.556591500433651,4612
"NIH-Flu_ARIMA",0.676227456895477,99.3451994371118,0.761630796964736,138.736235119048,0.24609375,0.676339285714286,5376
"OHT_JHU-nbxd",0.746364678427827,125.108005300276,0.872677034253726,181.60983277592,0.39193143812709,0.79933110367893,4784
"PSI-PROF",0.630546999038415,94.1553164249421,0.765998754894161,142.347745931953,0.534948224852071,0.895894970414201,5408
"PSI-PROF_beta",0.640180718843989,96.5865946120401,0.749168149132713,140.771669230769,0.571923076923077,0.891346153846154,5200
"SigSci-TSENS",0.897251715285326,131.980667280178,0.910387414079307,166.634984025559,0.450678913738019,0.673123003194888,5008
"Stevens-ILIForecast",1.36305113074209,232.542386825131,1.1846738360713,253.032509157509,0.0570054945054945,0.132783882783883,4368
"UGA_CEID-Walk",1.02421445861931,157.454432176171,1.10021098588057,208.417058269231,0.476153846153846,0.730576923076923,5200
"UGA_flucast-Copycat",0.673397945564349,97.4429949362668,0.804386591946033,145.002008032129,0.380722891566265,0.82289156626506,4980
"UGA_flucast-INFLAenza",0.763726431919103,115.513784212118,0.893906838105036,166.930916172107,0.409495548961424,0.836053412462908,5392
"UGA_flucast-Scenariocast",0.795476303678673,109.471903583773,0.956404178362109,162.691213389121,0.469037656903766,0.890376569037657,4780
"UGuelph-CompositeCurve",0.649807674623702,109.481151885341,0.774881264956863,163.211651917404,0.394911504424779,0.654129793510325,2712
"UI_CompEpi-EpiGen",0.998566483968918,136.724481605351,0.950857473359916,160.098364279399,0.542219274977896,0.708885941644562,4524
"UM-DeepOutbreak",0.946332053968012,143.528127139693,0.935987891097672,177.484301175206,0.588076923076923,0.735961538461538,5200
"UMass-AR2",0.759661345928422,118.503135577831,0.84122573161354,162.398435080875,0.409738260200154,0.780985373364126,5196
"UMass-flusion",0.659906858185634,103.281891397657,0.740780523515151,142.950028917062,0.395559845559846,0.81969111969112,5180
"UMass-trends_ensemble",0.822894513899521,126.75303801132,0.885739208593276,168.317954881657,0.427329881656805,0.681028106508876,5408
"UNC_IDD-InfluPaint",0.744163310280269,100.564765420357,0.774015120683008,130.049519731174,0.119747899159664,0.475023342670401,4284
"UVAFluX-CESGCN",1.10400209099801,138.001767379459,0.993635189274838,158.019667785108,0.156593406593407,0.395833333333333,4368
"UVAFluX-Ensemble",0.804250076602977,120.43354032673,0.891370353119967,164.837832840237,0.541789940828402,0.769045857988166,5408
"UVAFluX-OptimWISE",0.720486306703533,14.2347671781051,0.84798870325073,21.5187614394704,0.595192307692308,0.917788461538461,2080
"VTSanghani-PRIME",0.872235900316817,126.42309372164,0.916165955691373,164.177609108159,0.578747628083491,0.760531309297913,5270
"fjordhest-ensemble",0.691203632016173,103.522179309276,0.772494374238654,143.462852737086,0.433307632999229,0.770431765612953,5188
