"model_id","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"CADPH-FluCAT_Ensemble",0.460897629111423,27.612717798232,0.451281997843072,33.0222916391182,0.8,1,20
"CEPH-Rtrend_fluH",0.550848270758317,9.88433444816054,0.66791897813078,15.6538461538462,0.671153846153846,0.971153846153846,1040
"CFA_Pyrenew-Pyrenew_HE_Flu",0.620205819744065,10.306227177082,0.73491231995382,16.2448979591837,0.361516034985423,0.871720116618076,490
"CFA_Pyrenew-Pyrenew_H_Flu",0.635396853460551,10.5915770376474,0.712893978738092,15.7186588921283,0.527696793002915,0.950437317784257,490
"CMU-TimeSeries",0.583406761129746,10.3633764324443,0.67193768876224,15.6442569286059,0.701923076923077,0.990384615384615,1040
"CMU-climate_baseline",1.08704931348114,19.2060580100334,1.30272550549723,29.9826923076923,0.796153846153846,1,1040
"CU-ensemble",0.586779363752963,10.7739455592716,0.537107083030361,12.8205128205128,0.852564102564103,0.997863247863248,832
"FluSight-baseline",1,17.7980953177258,1,23.4480769230769,0.709615384615385,1,1040
"FluSight-ensemble",0.484950651283333,8.63458193979933,0.457974014492745,10.7346153846154,0.857692307692308,0.994230769230769,1040
"FluSight-lop_norm",0.535209251404721,9.52157775919732,0.447396800327846,10.5134615384615,0.898076923076923,1,1040
"FluSight-trained_mean",0.559968139035759,9.970542508246,0.538831484719297,12.6532223804279,0.828846153846154,0.984615384615385,1040
"FluSight-trained_med",0.571813404147461,10.1392451236207,0.504254450356439,11.7906717023238,0.873076923076923,0.996153846153846,1040
"Gatech-ensemble_point",0.974495475270951,17.0323670568562,1.21684348336748,27.7346153846154,0.440384615384615,0.982692307692308,1040
"Gatech-ensemble_prob",0.674326105217535,11.8981864548495,0.783985838334377,17.9884615384615,0.628846153846154,0.984615384615385,1040
"Google_SAI-FluBoostQR",0.481209914593184,6.08362756808409,0.559371355151929,9.28571428571428,0.5,0.961538461538462,416
"ISU_NiemiLab-GPE",0.614628490709347,10.877530383889,0.577305295595631,13.3946931798501,0.848076923076923,0.988461538461539,1040
"JHUAPL-DMD",1.16187313764008,20.38775369251,0.824296064610778,19.1534721480673,0.957692307692308,1,832
"JHU_CSSE-CSSE_Ensemble",0.555274475009696,9.71945166901357,0.6155252950617,13.9758986928105,0.57843137254902,0.875,612
