"model_id","target_end_date","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"CADPH-FluCAT_Ensemble",2024-11-30,0.490285307669753,52.6984882476605,0.409135317333442,68.460860038003,1,1,1
"CADPH-FluCAT_Ensemble",2024-12-07,0.449327848091976,114.725111560941,0.540516455967695,207.211432518975,1,1,2
"CADPH-FluCAT_Ensemble",2024-12-14,0.467103219569868,161.918537937189,0.505140441976287,271.44657760363,1,1,3
"CADPH-FluCAT_Ensemble",2024-12-21,0.411324813251139,456.225561353385,0.595464154313435,888.894295782275,0,1,4
"CADPH-FluCAT_Ensemble",2024-12-28,0.445135062861726,756.024378184477,0.696912846193245,1451.99275653333,0,1,4
"CADPH-FluCAT_Ensemble",2025-01-04,0.457297086999888,658.599228590086,0.710678360939448,1266.13840459442,0.25,1,4
"CADPH-FluCAT_Ensemble",2025-01-11,0.521924216617264,330.334684550922,0.354394959502876,267.145738604973,1,1,4
"CADPH-FluCAT_Ensemble",2025-01-18,0.830640524193971,571.491732045861,0.836795846133687,745.955774964557,0.5,0.75,4
"CADPH-FluCAT_Ensemble",2025-01-25,0.891709498877432,921.836437817979,1.09074707972465,1518.87161405703,0.333333333333333,0.666666666666667,3
"CADPH-FluCAT_Ensemble",2025-02-01,1.13297969802243,1354.24694068204,1.47845826240452,2193.42910398627,0,0.666666666666667,3
"CADPH-FluCAT_Ensemble",2025-02-08,1.233984474254,704.035311975032,1.50473859658998,1103.52471601456,0.333333333333333,1,3
"CADPH-FluCAT_Ensemble",2025-02-15,0.7975614130869,307.518599615113,0.690296249903859,348.72248814051,1,1,3
"CADPH-FluCAT_Ensemble",2025-02-22,0.780515086995165,397.317119265592,0.679104249364381,509.352219817593,0.75,1,4
"CADPH-FluCAT_Ensemble",2025-03-01,0.727861202724035,483.501444383324,0.842475742090384,774.777158923445,0.5,1,4
"CADPH-FluCAT_Ensemble",2025-03-08,0.446568963900673,290.214346415408,0.516016786932178,439.041145148135,0.5,1,4
"CADPH-FluCAT_Ensemble",2025-03-15,0.389194977926748,195.203678771423,0.431312617872965,287.3205858253,0.5,1,4
"CADPH-FluCAT_Ensemble",2025-03-22,0.276411198849023,95.0742631762634,0.206479575476248,90.095111110073,1,1,4
"CADPH-FluCAT_Ensemble",2025-03-29,0.228677913737304,66.4549061061164,0.111868037978578,41.1680252358138,1,1,4
"CADPH-FluCAT_Ensemble",2025-04-05,0.234074445856171,54.3215735596469,0.114036764905742,36.9685235949443,1,1,4
"CADPH-FluCAT_Ensemble",2025-04-12,0.25461708000501,50.0819351413037,0.159749504312788,46.4160666564917,1,1,4
"CADPH-FluCAT_Ensemble",2025-04-19,0.257114957603999,35.3127517128858,0.075207879904559,15.0617979936515,1,1,4
"CADPH-FluCAT_Ensemble",2025-04-26,0.411091897002919,36.2546306068385,0.388864429821351,43.6415854937995,1,1,4
"CADPH-FluCAT_Ensemble",2025-05-03,0.329531272031729,27.5094895501216,0.175269208907155,20.920885309885,0.75,1,4
"CADPH-FluCAT_Ensemble",2025-05-10,0.396414539102828,25.6035574382884,0.485621715680448,33.4758507869828,1,1,4
"CADPH-FluCAT_Ensemble",2025-05-17,0.33741775999309,19.0022141942215,0.322399856712886,18.5977737863442,1,1,4
"CADPH-FluCAT_Ensemble",2025-05-24,0.429790800798176,26.6027196710593,0.686463622264949,43.7983012245915,0.5,1,4
"CADPH-FluCAT_Ensemble",2025-05-31,0.427422158227249,24.8161401130478,0.750524196925307,37.2826675739858,0.5,1,4
"CADPH-FluCAT_Ensemble",2025-06-07,0.369732454115784,19.8188901711929,0.606386488980261,22.212749901561,1,1,3
"CEPH-Rtrend_fluH",2024-11-30,0.79414093802839,24.6822658862876,0.782990015301932,31.7884615384615,0.346153846153846,0.730769230769231,52
"CEPH-Rtrend_fluH",2024-12-07,0.694447992103909,27.9051003344482,0.631141518803904,36.7403846153846,0.423076923076923,0.769230769230769,104
"CEPH-Rtrend_fluH",2024-12-14,0.588895970163756,37.2857720178372,0.582633098510923,55.3974358974359,0.262820512820513,0.698717948717949,156
"CEPH-Rtrend_fluH",2024-12-21,0.593853721512469,85.9286747491639,0.639869212503007,124.004807692308,0.206730769230769,0.663461538461538,208
"CEPH-Rtrend_fluH",2024-12-28,0.681100103664702,223.635560200669,0.73447472167663,281.495192307692,0.0721153846153846,0.341346153846154,208
"CEPH-Rtrend_fluH",2025-01-04,0.687925027510724,298.209128344482,0.748772137959161,366.634615384615,0.0625,0.302884615384615,208
"CEPH-Rtrend_fluH",2025-01-11,0.705918975059692,151.965513547574,0.800069013597699,208.357487922705,0.222222222222222,0.613526570048309,207
"CEPH-Rtrend_fluH",2025-01-18,0.929439496556463,172.679305614183,1.03987821798923,241.038834951456,0.228155339805825,0.66504854368932,206
"CEPH-Rtrend_fluH",2025-01-25,1.0898022482642,265.884703557312,1.18869977694114,362.227272727273,0.246753246753247,0.636363636363636,154
"CEPH-Rtrend_fluH",2025-02-01,1.22464912955253,424.156194941745,1.29407531198757,532.346405228758,0.0980392156862745,0.379084967320261,153
"CEPH-Rtrend_fluH",2025-02-08,1.32630835156694,407.109241261722,1.37898194202027,500.522875816993,0.117647058823529,0.359477124183007,153
"CEPH-Rtrend_fluH",2025-02-15,0.980898467201137,199.740940608127,1.15608980668241,292.882352941176,0.222222222222222,0.647058823529412,153
"CEPH-Rtrend_fluH",2025-02-22,0.738783023288978,150.097043478261,0.869486598720263,227.209756097561,0.4,0.809756097560976,205
